image,bee_id,frame_id,angle_deg,angle_smooth,angle_var,wiggle,hive_health_score
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4578_f0637.png,4578,637,101.4695303328669,95.15651501410338,2.6268115872169777,True,Healthy
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4578_f0638.png,4578,638,95.52754015165617,96.2916493106028,21.96930105282514,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4578_f0639.png,4578,639,91.87787744728536,95.09618563855709,23.742144116719054,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4578_f0640.png,4578,640,97.88313931672973,85.10568732786618,20.903332725909152,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4578_f0641.png,4578,641,65.55604521958347,88.91258495560248,22.61322199721157,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4578_f0642.png,4578,642,103.29857033049429,91.88432911046101,64.2665689332859,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4578_f0643.png,4578,643,106.79837178130529,96.9619718569943,,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4578_f0644.png,4578,644,80.78897345918332,105.79763877758461,,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4578_f0645.png,4578,645,129.8055710922652,,,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4663_f0665.png,4663,665,290.18580300946485,,,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4663_f0666.png,4663,666,296.9165546169513,283.23425432217635,,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4663_f0667.png,4663,667,262.6004053401129,274.1628545727049,,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4663_f0668.png,4663,668,262.9716037610504,265.4715111206346,69.99326616649395,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4663_f0669.png,4663,669,270.84252426074045,262.264534136757,23.315196286006554,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4663_f0670.png,4663,670,252.97947438848013,267.138880672604,22.269967377096687,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4663_f0671.png,4663,671,277.59464336859145,262.5899505639283,31.877838530916264,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4663_f0672.png,4663,672,257.19573393471325,273.89238947574955,27.895618517544957,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4663_f0673.png,4663,673,286.886791123944,273.47423893485575,28.285624175258235,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4663_f0674.png,4663,674,276.3401917459099,274.6793822641651,16.475591334542084,True,Healthy
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4663_f0675.png,4663,675,260.81116392264124,266.90325185640535,14.216924056019078,True,Healthy
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4663_f0676.png,4663,676,263.558399900665,266.4045213994623,26.912168828112122,False,Low activity
pose/hsk_28_6_18_redish_2Fvideo_1208_bee_id4663_f0677.png,4663,677,274.84400037508067,271.4361804631721,71.83053768258392,False,Low activity
